Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},1016,0,13,13.319623197850788,4.270821000318392,40.031157001067186,249.53641732283464,17.209459420139243,0.0,13,14,15,16,19,21,25,27,35,40,40
POST,POST /recommendations/feedback,778,0,16,16.940999722331497,4.935492001095554,37.18853000100353,198.0655526992288,13.178109674083004,0.0,16,19,21,23,25,28,31,33,37,37,37
,Aggregated,1794,0,14,14.890097521176314,4.270821000318392,40.031157001067186,227.21516164994426,30.38756909422225,0.0,14,16,18,19,23,25,28,31,37,40,40
