Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},18911,0,33,46.571477962920696,3.7511669997911667,520.6968069996947,243.60938078367087,158.63196834646922,0.0,33,46,57,65,95,130,200,250,450,520,520
POST,POST /recommendations/feedback,13853,0,36,49.11027587973107,4.859053000473068,527.1148269985133,198.05269616689526,116.20372574182423,0.0,36,49,60,68,98,140,210,250,480,520,530
,Aggregated,32764,0,35,47.644911229358975,3.7511669997911667,527.1148269985133,224.3474850445611,274.83569408829345,0.0,35,47,58,66,96,130,210,250,470,520,530
