Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},10371,0,10,12.922387288292361,3.774560000238125,142.80795000013313,243.61132002699836,87.03289074379244,0.0,10,13,16,18,24,31,44,55,120,140,140
POST,POST /recommendations/feedback,7775,0,11,14.117189623023645,4.700130999481189,144.0405789999204,198.04282958199357,65.24739422745985,0.0,11,14,17,19,26,32,45,56,130,140,140
,Aggregated,18146,0,10,13.434323150330046,3.774560000238125,144.0405789999204,224.08663066240493,152.28028497125229,0.0,10,14,17,19,25,32,45,56,120,140,140
