Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},162052,0,10,13.116151610502712,3.53025300137233,2503.734722000445,243.60987213980698,90.086252604542,0.0,10,14,17,19,24,29,36,42,76,890,2500
POST,POST /recommendations/feedback,121912,0,13,18.89408541269343,4.488901000513579,2976.5987699993275,198.04705853402453,67.77204371143166,0.0,13,17,20,22,28,34,43,51,1100,2600,3000
,Aggregated,283964,0,11,15.596745860804262,3.53025300137233,2976.5987699993275,224.04875265878772,157.85829631597366,0.0,11,15,18,20,26,31,39,46,660,2200,3000
