Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},1001,0,14,13.924196847131622,4.098209999938263,40.88374499951897,244.26473526473526,16.953795213884135,0.0,14,15,16,17,19,21,24,26,38,41,41
POST,POST /recommendations/feedback,817,0,17,17.6529000795357,5.34167499972682,42.28039100053138,198.0452876376989,13.837413276466872,0.0,17,20,22,23,26,27,30,33,42,42,42
,Aggregated,1818,0,15,15.599857210648748,4.098209999938263,42.28039100053138,223.4939493949395,30.791208490351007,0.0,15,17,18,19,23,26,28,30,42,42,42
