Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},165362,0,7,9.115795183793788,2.3008600001048762,524.2072430010012,243.6421426930008,91.88939318709124,0.0,7,10,11,12,15,18,24,37,170,460,520
POST,POST /recommendations/feedback,124070,0,8,9.41684195732528,2.4317800016433466,533.6962019973726,198.04496655114048,68.94399567447425,0.0,8,10,12,13,16,19,24,38,200,470,530
,Aggregated,289432,0,8,9.244844056040256,2.3008600001048762,533.6962019973726,224.096129660853,160.8333888615655,0.0,8,10,11,12,15,18,24,38,180,470,530
