Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},21086,0,6,11.650711670449938,2.3821009999664966,342.0807490001607,243.61595371336432,176.8378599879611,0.0,6,8,10,11,18,38,87,130,220,290,340
POST,POST /recommendations/feedback,15548,0,6,12.247687184536629,2.561238999987836,328.63928000006126,198.03942629277077,130.39339121183815,0.0,6,8,10,11,19,40,94,140,230,320,330
,Aggregated,36634,0,6,11.904076721850878,2.3821009999664966,342.0807490001607,224.27261560299175,307.23125119979926,0.0,6,8,10,11,19,39,90,130,220,320,340
