Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},10626,0,6,7.668817712496163,2.3642830001335824,54.04319500121346,244.10643704121966,89.17290844539241,0.0,6,9,10,11,14,17,20,23,44,53,54
POST,POST /recommendations/feedback,7904,0,7,8.045682593628797,2.534247998482897,58.11880900000688,198.04428137651823,66.33000831473571,0.0,7,9,11,12,15,18,21,25,48,58,58
,Aggregated,18530,0,6,7.82957000717897,2.3642830001335824,58.11880900000688,224.45855369670804,155.5029167601281,0.0,6,9,10,12,14,17,21,24,46,54,58
