Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},332207,0,5,7.748254606385664,2.2779370010539424,283.2173899987538,243.61024602130598,184.62917720908132,0.0,5,7,8,9,14,20,37,51,99,170,280
POST,POST /recommendations/feedback,249079,0,5,7.966662454035104,2.43662899993069,306.8697830003657,198.0461781201948,138.42950579024756,0.0,5,7,8,9,14,21,37,51,100,190,310
,Aggregated,581286,0,5,7.841841598476635,2.2779370010539424,306.8697830003657,224.0862036931906,323.0586829993289,0.0,5,7,8,9,14,21,37,51,99,180,310
