Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},32688,0,14,14.601596825960593,3.7748969998574466,57.47311499999341,243.61254894762604,18.168878855650604,0.0,14,15,16,17,19,22,25,27,35,43,57
POST,POST /recommendations/feedback,24176,0,18,19.19619139622026,4.8634239999501006,65.79074599994783,198.04181833223032,13.437677900581528,0.0,18,21,23,24,27,29,34,37,47,56,66
,Aggregated,56864,0,15,16.555010555747177,3.7748969998574466,65.79074599994783,224.23793612830613,31.60655675623213,0.0,15,17,19,20,24,27,30,33,44,55,66
