Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},160500,0,11,17.066932364972633,3.784512000493123,1111.126021999553,243.6076323987539,89.19181228714635,0.0,11,16,19,21,30,46,92,110,170,460,1100
POST,POST /recommendations/feedback,120730,0,14,20.137667652696102,4.775092999807384,1791.683108000143,198.04478588586102,67.09113705562105,0.0,14,18,22,24,33,51,98,120,190,1500,1800
,Aggregated,281230,0,13,18.3851767602605,3.784512000493123,1791.683108000143,224.04783273477224,156.2829493427674,0.0,13,17,20,23,31,48,95,120,180,1100,1800
