Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},32219,0,14,15.032231150239173,3.7955410007270984,223.91324199998053,243.61035413886216,17.893115622394077,0.0,14,15,16,17,19,22,26,29,140,210,220
POST,POST /recommendations/feedback,24385,0,18,19.552566512566695,4.749733001517598,242.1547370031476,198.04072175517737,13.542432243461297,0.0,18,21,23,24,27,30,35,39,170,230,240
,Aggregated,56604,0,15,16.979591368781236,3.7955410007270984,242.1547370031476,223.97895908416368,31.435547865855373,0.0,15,17,19,20,24,27,31,35,160,220,240
