Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},32976,0,9,9.284564007854483,2.4468099999808146,30.442092000043885,243.76798277535178,18.32793811764214,0.0,9,9,10,10,12,13,15,17,22,28,30
POST,POST /recommendations/feedback,24881,0,9,9.56749385599516,2.51966899998024,38.58992799996486,198.0451348418472,13.82876723389902,0.0,9,10,10,11,12,13,15,17,22,32,39
,Aggregated,57857,0,9,9.406236019047498,2.4468099999808146,38.58992799996486,224.10519038318614,32.156705351541156,0.0,9,10,10,11,12,13,15,17,22,29,39
