Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},263903,42,50,85.57773617544836,4.077805999258999,30583.515421996708,243.57622308196574,146.65565415902907,0.023340157083016188,50,69,88,110,170,200,240,270,1200,30000,31000
POST,POST /recommendations/feedback,198019,15,55,89.40668820322442,5.018218995246571,30733.001639993745,198.03173937854447,110.0427277481377,0.008335770386791496,55,75,95,120,170,210,250,280,1400,31000,31000
,Aggregated,461922,57,52,87.21915020549697,4.077805999258999,30733.001639993745,224.05198929689428,256.6983819071668,0.031675927469807685,52,72,92,110,170,210,250,270,1300,30000,31000
