Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789505322,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789505323,10,,Aggregated,0.000000,0.000000,9,9,10,10,12,13,14,14,14,14,14,27,0,9,7.8759448523568505,3.035059999092482,14.067643001908436,227.11111111111111
1789505324,20,,Aggregated,0.000000,0.000000,9,10,11,12,14,18,29,36,36,36,36,89,0,9,9.639855550672058,2.843117999873357,36.42902600040543,230.56179775280899
1789505325,30,,Aggregated,9.000000,0.000000,9,10,11,12,16,22,29,36,56,56,56,177,0,9,9.470991225976308,2.843117999873357,56.28589499974623,230.090395480226
1789505326,40,,Aggregated,25.000000,0.000000,7,9,11,12,16,24,36,46,56,56,56,300,0,7,9.168263223218673,2.770396000414621,56.28589499974623,230.58333333333334
1789505327,50,,Aggregated,42.666667,0.000000,8,10,12,14,22,31,37,41,56,56,56,451,0,8,10.450441294801195,2.770396000414621,56.28589499974623,230.94235033259423
1789505328,60,,Aggregated,57.500000,0.000000,8,10,13,16,24,34,45,56,78,78,78,622,0,8,11.530574358444042,2.770396000414621,77.52856699880795,230.37138263665594
1789505329,70,,Aggregated,73.400000,0.000000,9,13,18,23,38,110,170,200,220,220,220,814,0,9,21.01037473703154,2.770396000414621,223.76708699812298,229.495085995086
1789505330,80,,Aggregated,86.500000,0.000000,8,13,20,24,69,140,170,190,220,220,220,1029,0,8,24.245711475180343,2.653873998497147,223.76708699812298,228.83187560738583
1789505331,90,,Aggregated,96.142857,0.000000,9,17,24,31,67,130,170,190,220,220,220,1300,0,9,24.99377978377407,2.574147998529952,223.76708699812298,227.78846153846155
1789505332,100,,Aggregated,112.875000,0.000000,10,19,29,39,88,130,160,180,220,220,220,1570,0,10,28.27415978529985,2.5305800008936785,223.76708699812298,227.115923566879
1789505333,100,,Aggregated,127.333333,0.000000,9,15,23,30,75,130,160,170,220,220,220,1903,0,9,24.802882018371236,2.5305800008936785,223.76708699812298,226.17498686284813
1789505334,100,,Aggregated,141.200000,0.000000,8,12,20,26,60,120,150,170,220,220,220,2230,0,8,22.228071143019463,2.5305800008936785,223.76708699812298,225.8188340807175
1789505335,100,,Aggregated,171.500000,0.000000,7,10,16,22,52,100,150,170,220,220,220,2555,0,7,20.0759371424372,2.4788909977360163,223.76708699812298,225.42818003913894
1789505336,100,,Aggregated,199.700000,0.000000,7,10,14,20,45,93,140,160,220,220,220,2886,0,7,18.63310103186161,2.4732290003157686,223.76708699812298,225.41580041580042
1789505337,100,,Aggregated,224.900000,0.000000,7,9,13,18,41,87,140,160,210,220,220,3214,0,6,17.57219992375643,2.4732290003157686,223.76708699812298,225.24424393279403
1789505338,100,,Aggregated,247.100000,0.000000,6,9,12,16,37,82,140,160,210,220,220,3539,0,6,16.558495653288706,2.4138270018738694,223.76708699812298,225.25854761231986
1789505339,100,,Aggregated,266.800000,0.000000,6,9,12,15,32,73,130,160,210,220,220,3873,0,6,15.721754242965167,2.4138270018738694,223.76708699812298,224.99147947327654
1789505340,100,,Aggregated,284.400000,0.000000,6,9,11,14,30,64,130,150,210,220,220,4199,0,6,15.066472675165016,2.4138270018738694,223.76708699812298,224.88235294117646
1789505341,100,,Aggregated,301.000000,0.000000,6,8,11,13,28,59,130,150,210,220,220,4531,0,6,14.396924847488972,2.4138270018738694,223.76708699812298,224.91701611123372
1789505342,100,,Aggregated,311.600000,0.000000,6,8,11,13,26,54,130,150,210,220,220,4865,0,6,13.949861742643227,2.4138270018738694,223.76708699812298,224.75704008221993
1789505343,100,,Aggregated,320.400000,0.000000,6,8,11,13,25,51,130,150,210,220,220,5179,0,6,13.5938568671475,2.4138270018738694,223.76708699812298,224.61672137478277
1789505344,100,,Aggregated,326.500000,0.000000,6,8,10,12,24,47,120,140,210,220,220,5506,0,6,13.154361167256505,2.4138270018738694,223.76708699812298,224.63567017798766
1789505345,100,,Aggregated,327.600000,0.000000,6,8,10,12,23,45,120,140,210,220,220,5839,0,6,12.879308325205384,2.4138270018738694,223.76708699812298,224.56054118855968
1789505346,100,,Aggregated,327.900000,0.000000,6,8,10,12,23,45,110,140,210,220,220,6161,0,6,12.702355369564486,2.4138270018738694,223.76708699812298,224.60899204674567
1789505347,100,,Aggregated,327.400000,0.000000,6,8,10,12,23,45,100,140,210,220,220,6496,0,6,12.56123199275049,2.4138270018738694,223.76708699812298,224.6266933497537
1789505348,100,,Aggregated,327.300000,0.000000,6,8,10,12,22,43,96,140,210,220,220,6806,0,6,12.24543232234371,2.4138270018738694,223.76708699812298,224.6650014692918
1789505349,100,,Aggregated,326.600000,0.000000,6,8,10,12,22,40,94,140,200,220,220,7141,0,6,11.959883646244245,2.4138270018738694,223.76708699812298,224.65523035989358
1789505350,100,,Aggregated,326.000000,0.000000,6,8,10,11,21,39,91,140,200,220,220,7463,0,6,11.69604680462091,2.4138270018738694,223.76708699812298,224.58582339541738
