Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},330605,0,5,9.92432484982259,2.2539909987244755,468.034589997842,243.62619742593125,183.75397062078426,0.0,5,7,9,10,17,31,60,93,210,330,470
POST,POST /recommendations/feedback,247096,0,5,10.08216082778197,2.3650629955227487,431.50544200034346,198.0458283420209,137.33873088584053,0.0,5,7,9,10,17,31,61,94,210,330,430
,Aggregated,577701,0,5,9.991834926506115,2.2539909987244755,468.034589997842,224.13042560078657,321.0927015066248,0.0,5,7,9,10,17,31,61,93,210,330,470
