Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},166647,0,7,8.22802505866231,2.3200329997052904,72.47599999936938,243.61395044615264,92.63224189569239,0.0,7,10,11,12,15,18,21,24,43,57,72
POST,POST /recommendations/feedback,123608,0,8,8.488188169269995,2.458503000525525,73.25595799920848,198.04517506957478,68.70862455515397,0.0,8,10,11,12,15,18,22,24,44,58,73
,Aggregated,290255,0,7,8.338818126054889,2.3200329997052904,73.25595799920848,224.20803086940793,161.34086645084636,0.0,7,10,11,12,15,18,21,24,43,58,73
