Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /recommendations/{user_id},33311,0,9,9.341875417070383,2.5675529996078694,35.30071899967879,243.72318453363755,18.5135630942959,0.0,9,9,10,10,12,13,15,17,22,28,35
POST,POST /recommendations/feedback,24572,0,9,9.629808629823705,2.663737000148103,36.30505999990419,198.04578381898096,13.656608098016838,0.0,9,10,10,11,12,13,16,17,22,31,36
,Aggregated,57883,0,9,9.464106381322004,2.5675529996078694,36.30505999990419,224.3326019729454,32.170171192312736,0.0,9,10,10,11,12,13,15,17,22,29,36
